Name,Attributes,n,n1,n2
Wikipedia edits (an),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",107915,4474,103441
Stack Overflow,"['Rating network', 'Bipartite undirected', 'Unweighted no multiple edges', 'Edges are annotated with timestamps']",641876,545196,96680
Wiktionary edits (sh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",916627,286,916341
Wikipedia links (bn),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",226501,,
Wikiversity edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",199910,30548,169362
Wikipedia links (te),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",93596,,
Wikiquote edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",581646,1656,579990
Wikipedia edits (sq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",197191,14213,182978
Wikipedia links (cy),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",142648,,
Wikipedia talk (nl),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",225749,,
Catster/dogster households,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",333111,,
Discogs label–genre,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges']",270786,270771,15
Super User,"['Online contact network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",194085,,
Wikipedia edits (min),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",317818,649,317169
Italian CNR,"['Hyperlink network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",325557,,
Wiktionary edits (ta),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",367883,1283,366600
Wikipedia edits (br),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",128363,4828,123535
TV Tropes,"['Feature network', 'Bipartite undirected', 'Unweighted no multiple edges']",152093,64415,87678
Yahoo advertisers,"['Lexical network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",653260,,
Baidu related,"['Hyperlink network', 'Unipartite directed', 'Unweighted multiple edges', 'Contains loops']",415641,,
IMDB,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",871982,685568,186414
Florida,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",1070376,,
Wikiquote edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",439571,3518,436053
Linux kernel mailing list threads,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",379554,42045,337509
Wiktionary edits (lt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",689678,713,688965
Youtube friendships,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",1134890,,
Wikipedia edits (ce),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",187459,1416,186043
Wikipedia edits (be-x-old),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",164905,5620,159285
arXiv hep-th,"['Cocitation network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is the join of an underlying network']",22908,,
Wikipedia edits (zh-min-nan),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",660825,2326,658499
Northwest USA,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",1207945,,
Wikipedia dynamic (simple),"['Hyperlink network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps', 'Contains loops']",100312,,
Hyves,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",1402673,,
Wikipedia edits (lb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",114727,5074,109653
California,"['Infrastructure network', 'Unipartite undirected', 'Unweighted no multiple edges']",1965206,,
Wikipedia links (lmo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",52214,,
Wikipedia edits (uz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",619358,3951,615407
Wikipedia edits (oc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",143371,4172,139199
"Amazon (TWEB, 0312)","['Miscellaneous network', 'Unipartite directed', 'Unweighted no multiple edges']",400727,,
Wiktionary edits (tr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",381017,3241,377776
Wikipedia links (lv),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",190048,,
Wikipedia links (nn),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",215911,,
Wikipedia links (la),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",181160,,
Wikipedia edits (tt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",175460,2441,173019
Digg friends,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",279630,,
Wikipedia links (sa),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",21779,,
Wiktionary edits (vi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",246124,1716,244408
"Amazon (TWEB, 0505)","['Miscellaneous network', 'Unipartite directed', 'Unweighted no multiple edges']",410236,,
Wikipedia edits (te),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",232888,15537,217351
"Amazon (TWEB, 0601)","['Miscellaneous network', 'Unipartite directed', 'Unweighted no multiple edges']",403394,,
Wikipedia words (en),"['Text network', 'Bipartite undirected', 'Unweighted multiple edges', 'Is a snapshot and likely to not contain all data']",276739,2780,273959
Wiktionary edits (ku),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",530893,672,530221
Enron words,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",67960,39861,28099
Wikipedia talk (ar),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",1095799,,
Wiktionary edits (hu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",388013,1424,386589
Wikipedia links (uz),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",439347,,
Wikipedia categories (en),"['Feature network', 'Bipartite undirected', 'Unweighted no multiple edges']",2036440,1853493,182947
Wiktionary edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",340357,5213,335144
Wikipedia edits (ta),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",330121,15251,314870
Discogs label–style,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges']",244147,243764,383
Wikivoyage edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",180704,45641,135063
Wikipedia edits (bs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",363654,9994,353660
Wikipedia talk (ru),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",457017,,
Wikipedia edits (kk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",515572,8554,507018
IMDB,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",1199919,303617,896302
Wikibooks edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",328993,79268,249725
Wikipedia links (az),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",167246,,
Wikipedia edits (ml),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",362166,36162,326004
Wikipedia links (zh-min-nan),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",429317,,
Wikipedia edits (be),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",446889,7489,439400
Wiktionary edits (io),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",303742,541,303201
Wikipedia talk (pt),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",541355,,
Wikipedia edits (lv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",327280,11758,315522
Catster,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",149700,,
Wikipedia threads (de),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",91340,,
Northeast USA,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",1524453,,
Wikipedia edits (bn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",545404,22343,523061
Wikipedia links (tt),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",136014,,
Wikiquote edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",609903,3088,606815
Wikipedia talk (zh),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",1219241,,
Wikipedia links (mk),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",136857,,
Wikipedia edits (ur),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",678976,6883,672093
Wikipedia links (ka),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",159755,,
Wikipedia edits (mk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",423143,10840,412303
Jester 100,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges']",73521,73421,100
BibSonomy user–tag,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",210467,5794,204673
Wikipedia links (simple),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",185262,,
Wiktionary edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",624325,2340,621985
Wikipedia talk (es),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",497446,,
Wikipedia links (et),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",295546,,
BibSonomy user–item,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",773241,5794,767447
Wikipedia edits (cy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",208087,5445,202642
Wikipedia edits (nn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",328414,10529,317885
BibSonomy tag–item,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",972120,204673,767447
Wikipedia messages (en),"['Communication network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Does not have multiple edges but the underlying data has']",2394385,,
Twitter tag–item,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",1502611,270582,1232029
Wikipedia links (bug),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",14266,,
Wikipedia links (tg),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",110972,,
Wikipedia edits (la),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",256074,10610,245464
Wikiquote edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",447892,4371,443521
Google hyperlinks,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",875713,,
Youtube links,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",1138499,,
California and Nevada,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",1890815,,
Wikipedia edits (hi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",699316,29073,670243
Wiktionary edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",462041,5441,456600
Wiktionary edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",442268,2061,440207
Digg votes,"['Rating network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",142962,139409,3553
Wikipedia edits (vo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",251379,2658,248721
Wikipedia edits (ka),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",337163,11230,325933
Catster friends,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",204473,,
Wikipedia links (el),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",216365,,
Wikipedia talk (it),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",863846,,
CiteULike user–tag,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",175992,22715,153277
Wikipedia links (th),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",266937,,
Wikinews edits (sr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",124174,522,123652
Wikipedia edits (az),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",338081,20643,317438
CiteULike tag–item,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",885046,153277,731769
CiteULike user–item,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",754484,22715,731769
WebUni Magdeburg,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",206350,6202,200148
Wikipedia links (lt),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",268159,,
Wiktionary edits (ko),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",409984,1300,408684
Wiktionary edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",658240,2144,656096
Wikipedia links (be),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",375911,,
Wikipedia links (gl),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",207027,,
Prosper loans,"['Interaction network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",89269,,
arXiv hep-ph,"['Cocitation network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is the join of an underlying network']",28093,,
Wikipedia edits (ms),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",819847,18211,801636
Wiktionary edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",481016,2867,478149
Wikipedia links (ur),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",332057,,
Wikipedia links (ce),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",172283,,
Wikipedia links (hr),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",223125,,
Wikipedia edits (gl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",354254,12922,341332
Wikipedia edits (et),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",424139,20082,404057
Wikipedia links (sk),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",291006,,
Wikipedia links (ta),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",152870,,
Wikipedia edits (hr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",496141,28779,467362
Wikipedia links (hi),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",172547,,
Berkeley/Stanford,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",685230,,
Dogster,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",426820,,
Wikipedia links (sl),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",228316,,
Wikipedia edits (sl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",395975,26292,369683
Wikinews edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2766389,15724,2750665
Great Lakes,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",2758119,,
Wikipedia edits (lt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",447325,20646,426679
Wiktionary edits (es),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",901301,5759,895542
Flickr,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",499610,395979,103631
Wikipedia edits (simple),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",494139,66022,428117
Wikipedia talk (fr),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",1420367,,
Flixster,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",2523386,,
Wikipedia links (eu),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",371025,,
Twitter user–tag,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",705632,175214,530418
Dogster friends,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",451710,,
Wikipedia edits (hy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",767832,11615,756217
TREC WT10g,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",1601787,,
Arnetminer ACM,"['Citation network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1369055,,
Wikipedia links (bg),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",354062,,
Wiktionary edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1347094,3654,1343440
Wikipedia conflict,"['Online contact network', 'Unipartite undirected', 'Signed possibly weighted multiple edges', 'Edges are annotated with timestamps', 'Edges may have weight zero']",118100,,
Wikipedia links (da),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",378375,,
Wikipedia edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",465768,56139,409629
Wikipedia edits (th),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",712316,50052,662264
Wikipedia edits (eu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",705324,11806,693518
Wiktionary edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",615519,3824,611695
Wiktionary edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",725085,12104,712981
Wikipedia edits (sk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",504318,27200,477118
Wikipedia edits (eo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",542626,15511,527115
Eastern USA,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",3598623,,
Wikipedia links (eo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",412997,,
Wikipedia links (bs),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",178413,,
Wikipedia edits (war),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2877072,3050,2874022
Skitter,"['Computer network', 'Unipartite undirected', 'Unweighted no multiple edges']",1696415,,
Wikipedia edits (bg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",556885,40823,516062
Wikiquote edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2409110,6666,2402444
Wikipedia talk (de),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",519403,,
Wikiquote edits (en),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2210887,18038,2192849
Amazon ratings,"['Rating network', 'Bipartite undirected', 'Ratings multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",3376972,2146057,1230915
Higgs,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops', 'Is a snapshot and likely to not contain all data']",456626,,
Wikipedia edits (da),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",839193,66118,773075
Discogs artist–genre,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges']",1754838,1754823,15
Wikipedia links (kk),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",257226,,
Discogs,"['Affiliation network', 'Bipartite undirected', 'Unweighted multiple edges']",2025594,1754823,270771
Wikipedia links (he),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",387503,,
Catster/dogster friends,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",623754,,
Wikipedia links (tr),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",544514,,
Wiktionary edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1274165,7816,1266349
DBLP,"['Authorship network', 'Bipartite undirected', 'Unweighted no multiple edges']",7577304,1953085,5624219
Wikipedia links (fi),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",684613,,
Flickr links,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops', 'Is a snapshot and likely to not contain all data']",1715255,,
Indian domain,"['Hyperlink network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",1382867,,
Hudong internal,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",1984484,,
DBpedia,"['Miscellaneous network', 'Unipartite directed', 'Unweighted multiple edges']",3966924,,
Catster/Dogster,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Contains loops']",623766,,
European Union domain,"['Hyperlink network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is', 'Does not have multiple edges but the underlying data has']",862664,,
MovieLens 10M,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Edges are annotated with timestamps']",80555,69878,10677
Wikipedia edits (ro),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1798416,62243,1736173
Baidu internal,"['Hyperlink network', 'Unipartite directed', 'Unweighted multiple edges', 'Contains loops']",2141300,,
Western USA,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",6262104,,
Wikipedia links (cs),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",655173,,
US patents,"['Citation network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain directed cycles']",3774768,,
YouTube,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Edges are annotated with timestamps']",3223589,,
Discogs artist–style,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges']",1618326,1617943,383
Wikipedia links (hy),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",557677,,
Wikipedia edits (id),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2308975,125481,2183494
Wikipedia links (no),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",759923,,
Wikipedia links (oc),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",96228,,
Libimseti.cz,"['Online social network', 'Unipartite directed', 'Ratings no multiple edges']",220970,,
Hudong related,"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",2452715,,
Wikipedia edits (cs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1114389,83870,1030519
Wikipedia edits (sr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1416821,35701,1381120
Wikipedia edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1225701,95247,1130454
Wikipedia edits (tr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1687395,180855,1506540
Epinions,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Edges are annotated with timestamps']",876252,120492,755760
Wikipedia edits (ko),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1614822,109658,1505164
Twitter user–item,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",9374206,244537,9129669
Twitter mentions,"['Online contact network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",2919613,,
Wikipedia links (ms),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",362264,,
Wikipedia edits (no),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1340021,115666,1224355
Wikipedia edits (ceb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8486200,3132,8483068
Wikipedia links (ko),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",772123,,
