,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
PDh,Dogster households,petster-dog-household/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",260390,2148179,,1827330436,,,6167553.0,1031479645.0,15565455262.0,22139,16.4997,,255968,11.0,2.78716,3.80373,3.0,3.36377,0.723604,0.224646,,,2.271,,,-0.0952528,0.0,0.0101255,,,,0.454941,0.0761163,0.120609,0.00179649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wsq,Wikipedia links (sq),wikipedia_link_sq/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",97940,2491433,,1637254072,,,46254313.0,11035437550.0,,21524,50.8767,,97071,12.0,3.03956,4.40789,4.0,3.60453,,0.199269,,1.43327,,,,-0.0714479,0.0,0.0847535,,,,0.587977,0.0239873,0.0717881,0.000506492,,,,,,,,,,,,,,,2638.0,21515.0,,,0.218337,0.197777,,,383.077,379.005,,,,,,,,,,,
Wbe-x-old,Wikipedia links (be-x-old),wikipedia_link_be_x_old/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",87179,2549700,,1310802246,,,34129874.0,8343147561.0,,15688,58.4934,,87175,9.0,2.94229,3.97175,3.0,3.47933,,0.23197,,1.38482,,,,-0.0826062,0.0,0.0781122,,,,0.426604,0.131628,0.206794,0.00115398,,,,,,,,,,,,,,,825.0,15133.0,,,0.252387,0.200494,0.770934,0.523571,349.631,,,,,,,,,,,,
qen,Wikiquote edits (en),edit-enwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2210887,6561379,,192477058220,,,,,,916505,5.93552,,2203707,15.0,3.54628,5.21517,4.0,4.13417,,0.222712,,,,,,-0.060458,0.0,,,,,,,,,,,18038.0,2192849.0,916505.0,30606.0,363.753,2.99217,0.0339941,0.331631,,,,,,,,,,,,,,,,,,,,,,,,4129231.0,1.58901
Fc,Filmtipset comments,filmtipset_comment/,Interaction network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",75360,1266753,,493367139,,,,2724858975.0,23774988546.0,5659,33.6187,,75194,9.0,3.29778,4.30501,4.0,3.74921,0.803195,,,,1.581,,,-0.186575,0.0,,,0.196326,,,,,,40256.0,,29530.0,45830.0,5659.0,2252.0,42.8972,27.6403,,,,,,,,,,,,,,,,,,,,,,,,,,1204831.0,1.05139
Tpl,Wikipedia talk (pl),wiki_talk_pl/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",155820,1358426,,3473856834,,,2292943.0,1928005260.0,29320369940.0,112031,17.4358,,153167,7.0,2.62182,3.67164,3.0,3.1278,,,,2.43303,,,,-0.189731,0.0,0.00198017,,0.110017,,,,0.106509,0.00439251,,,,,,,,,,,,,,,112031.0,8726.0,,,,,,,6183.55,,,,,,,,,,,549603.0,2.47165
Wne,Wikipedia links (ne),wikipedia_link_ne/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",36211,2941201,56.0,1275981932,,,362882218.0,246022008696.0,,8714,162.448,,35729,11.0,2.90652,3.97625,3.0,3.45033,,0.147945,,,,,,0.122718,0.0,0.853183,,,,0.887569,0.00415365,0.00825694,2.0617100000000003e-05,,,,,,,,,,,,,,,3565.0,8364.0,,,0.158929,0.152771,0.77264,0.980537,981.814,934.61,,,,,,,,,,,
is,Wikipedia edits (is),edit-iswiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",124118,1393848,,3627520403,,,,9180434448.0,87955044948.0,84719,22.46,,120868,14.0,3.33132,3.94248,4.0,3.5866,,,,,,,,-0.101924,0.0,,,,,,,,,,,8750.0,115368.0,84719.0,5535.0,159.297,12.0818,,,,,,,,,,,,,,,,,,,,,,,,,,681610.0,2.04493
tl,Wikipedia edits (tl),edit-tlwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",227374,1372133,,10715382386,,,,7631676397.0,103916486088.0,171129,12.0694,,224381,11.0,3.22642,3.87533,4.0,3.3483,0.850553,0.147437,0.701281,,,,,,,,7106.56,,,,,,,,,7351.0,220023.0,171129.0,7097.0,186.659,6.23632,0.030559,0.207297,,,,,,,,,,,,,,,,,,,,,,,,762724.0,1.79899
mr,Wikipedia edits (mr),edit-mrwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",206373,1396816,,5621076574,,,,5557714531.0,66947733868.0,115105,13.5368,,203834,11.0,3.39198,3.98239,4.0,3.71796,,,,,,,,-0.209179,0.0,,1659.56,,,,,,,,,8866.0,197507.0,115105.0,3479.0,157.547,7.07224,,,,,,,,,,,,,,,,,,,,,,,,,,697834.0,2.00165
af,Wikipedia edits (af),edit-afwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",117392,1460196,,3116845456,,,,6347289255.0,63247622160.0,83708,24.8773,,113310,10.0,3.28673,3.95614,4.0,3.53647,,,,,1.701,,,,,,,,,,,,,,,7699.0,109693.0,83708.0,10730.0,189.66,13.3117,,,,,,,,,,,,,,,,,,,,,,,,,,614164.0,2.37753
an,Wikipedia edits (an),edit-anwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",107915,1511668,,5772500383,,,,11826037743.0,117700123808.0,201151,28.0159,,106341,13.0,2.8933,3.83383,3.0,3.06596,,,,,3.161,,,-0.32677,0.0,,,0.0642623,,,,,,,,4474.0,103441.0,201151.0,6956.0,337.878,14.6138,,,,,,,,,,,,,,,,,,,,,,,,,,653486.0,2.31324
SO,Stack Overflow,stackexchange-stackoverflow/,Rating network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",641876,1301942,,205586615,,,,18293548.0,971310588.0,6119,4.05668,,605159,20.0,5.25796,6.42308,6.0,5.57615,0.705753,0.214349,0.890745,,2.011,,,-0.0399861,0.0,,99.9772,0.013941,,,,,,,,545196.0,96680.0,4917.0,6119.0,2.38803,13.4665,0.309018,0.196541,,,,,,,,,,,,,,,,,,,,,,,,,
msh,Wiktionary edits (sh),edit-shwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",916627,1462476,,446160844605,,,,84401540080.0,2459858492556.0,853616,3.19099,,916397,11.0,1.58469,3.30994,2.0,2.29036,0.613574,0.283876,,,,,,-0.366779,0.0,,1091.37,,,,,,,,,286.0,916341.0,853616.0,253.0,5113.55,1.596,0.0101424,0.404736,,,,,,,,,,,,,,,,,,,,,,,,1396590.0,1.04718
Wbn,Wikipedia links (bn),wikipedia_link_bn/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",226501,2832143,,852622679,,,77038734.0,20030679963.0,,11294,25.0078,,225970,11.0,3.78359,4.84476,4.0,4.28117,,0.124422,,,,,,-0.0515578,0.0,0.271065,,,1.15676,0.780787,0.00406665,0.00808595,0.000104597,,,,,,,,,,,,,,,2023.0,10709.0,,,0.127503,0.181155,,,466.731,,,,,,,,,,,,
yen,Wikiversity edits (en),edit-enwikiversity/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",199910,1407455,,1419302989,,,,305290633.0,8120414108.0,49880,14.0809,,189516,13.0,3.59533,4.99964,4.0,4.16436,,,,,2.631,,,,,,4503.11,,,,,,,,,30548.0,169362.0,49880.0,14788.0,46.0736,8.31034,,,,,,,,,,,,,,,,,,,,,,,,,,387844.0,3.62892
Wte,Wikipedia links (te),wikipedia_link_te/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",93596,2930023,,2537257788,,,64748752.0,17149187379.0,,29171,62.61,,93495,11.0,2.85605,3.89934,3.0,3.37266,,0.235697,,,,,,-0.0501836,0.0,0.0765576,,,,0.555779,0.048363,0.082768,0.000461329,,,,,,,,,,,,,,,3648.0,29103.0,,,0.241126,0.22058,,,392.732,,,,,,,,,,,,
sq,Wikipedia edits (sq),edit-sqwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",197191,1520527,,3852092478,,,,6171156823.0,64779314160.0,86224,15.4219,,187503,13.0,3.42411,3.97609,4.0,3.77695,,,,,,,,,,,9298.27,,,,,,,,,14213.0,182978.0,86224.0,9299.0,106.981,8.30989,,,,,,,,,,,,,,,,,,,,,,,,,,711144.0,2.13814
Wcy,Wikipedia links (cy),wikipedia_link_cy/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",142648,2967435,,3651352829,,,90517018.0,58497304519.0,,18903,41.605,,142551,9.0,2.95776,3.94945,3.0,3.4776,,0.196463,,1.45226,,,,-0.165235,0.0,0.07437,,,,0.547647,0.0114654,0.179668,0.00122559,,,,,,,,,,,,,,,1771.0,18853.0,,,0.242891,0.126452,,0.657432,578.943,,,,,,,,,,,,
Tnl,Wikipedia talk (nl),wiki_talk_nl/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",225749,1554699,416428.0,6058956301,,,1873710.0,1925439105.0,39640359028.0,113872,13.7737,,224185,7.0,2.60171,3.63783,3.0,3.11636,,,,,,,,-0.284167,0.0,0.000927739,,0.0464938,,,0.0209411,0.0432114,0.00229382,,,,,,,,,,,,,,,113867.0,36413.0,,,,,0.680567,,19257.0,,,,,,,,,,,565477.0,2.74936
PKh,Catster/dogster households,petster-catdog-household/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",333111,2643012,,3632371922,,,8473307.0,2326862660.0,33149674992.0,37346,15.8687,,324249,12.0,3.14882,4.8554,4.0,3.84892,0.725897,0.22251,,,,,,-0.0711513,0.0,0.00699816,,,,0.0921135,0.0480554,0.0834478,0.00127987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr,Discogs label–genre,discogs_lgenre/,Feature network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",270786,4147665,,18190840285,647168119285166,1.913 97 × 1019,,2880892476.0,95812257190.0,1517976,30.6343,0.11859,270785,4.0,3.03986,3.80797,4.0,3.04154,,,0.63247,3.69821,3.111,,,-0.351885,0.0,,73782.4,0.897895,2.98507,,,,,270756.0,0.999889,270771.0,15.0,78434.0,1517976.0,15.318,276511,,,,,,,,,,,,,,,,,,,,,,,,,,481661.0,8.61117
min,Wikipedia edits (min),edit-minwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",317818,1539666,,56070731765,,,,23360431604.0,411167646932.0,1045973,9.68898,,317508,10.0,1.67155,3.61487,2.0,2.51522,0.773874,,,2.83072,8.991,,,,,,3444.17,0.0152648,,,,,,316562.0,0.996255,649.0,317169.0,1045973.0,880.0,2372.37,4.8544,,,,,,,,,,,,,,,,,,,,,,,,,,610094.0,2.52365
mta,Wiktionary edits (ta),edit-tawiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",367883,1623615,,54919206238,,,,34383442465.0,494746427356.0,466336,8.8268,,367099,10.0,1.9273,3.78803,2.0,2.91968,0.754886,0.214609,,,3.101,,,-0.277997,0.0,,1506.88,,,,,,,,,1283.0,366600.0,466336.0,1478.0,1265.48,4.42885,0.0235468,0.308321,,,,,,,,,,,,,,,,,,,,,,,,1024442.0,1.58488
br,Wikipedia edits (br),edit-brwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",128363,1662810,,6707936351,,,,12397253831.0,126011381622.0,163518,25.9079,,126795,11.0,3.11032,3.8806,4.0,3.19931,0.81589,0.182674,,,,,,,,,,,,,,,,,,4828.0,123535.0,163518.0,4452.0,344.41,13.4602,0.0260806,0.254046,,,,,,,,,,,,,,,,,,,,,,,,768711.0,2.16311
DBT,TV Tropes,dbtropes-feature/,Feature network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",152093,3232134,,1494276935,,,,4209628681.0,39661411392.0,12400,42.5021,0.000572284,128728,10.0,3.52245,4.99847,4.0,4.05534,0.794974,0.182434,,1.56125,2.141,,,-0.0963673,0.0,,352.306,0.195693,,,,,,,,64415.0,87678.0,6507.0,12400.0,50.1767,36.8637,0.227735,0.136828,,,,,,,,,,,,,,,,,,,,,,,,,
YD,Yahoo advertisers,lasagne-yahoo/,Lexical network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",653260,2931708,,39072502469,,,67260.0,395269117.0,159458026208.0,224825,8.97562,,653260,5.0,2.77096,3.74993,3.0,3.23715,0.548822,0.298544,,,2.611,,,-0.0814633,0.0,5.16425e-06,474.58,,,0.000393239,0.0585088,0.71512,0.0199184,,,,,,,,,,,,,,,413.0,224821.0,,,0.334668,0.193101,-0.683057,0.0122443,474.472,2.64358,,,,,,,,,,,
BAr,Baidu related,zhishi-baidu-relatedpages/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",415641,3284387,,64694677166,,8.672 01 × 1019,14287651.0,235529921685.0,2143022830232.0,127090,15.804,1.9011300000000002e-05,372840,32.0,5.69948,8.5385,6.0,6.10945,0.640156,0.258736,,,2.601,,,-0.274014,0.0,0.000662542,,0.00135915,,0.00099218,0.000756745,0.00911632,0.000183288,,,,,,,,,,,,,,,426.0,127035.0,,,0.328845,0.206672,,0.311056,1007.86,167.975,0.554317,,,,,,,,,3284335.0,1.00002
IM,Google+ (IMC12),stevgong_social/,Online social network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",28943739,462994069,0.0,898518918326,36561956367546032,2.685 18 × 1021,14448627246.0,,,452665,31.9927,5.526699999999999e-07,28903418,22.0,4.5156,6.16095,,5.11718,,0.213766,0.906965,1.51851,,,,,,0.0482415,3602.22,,,0.509053,0.00464258,,,,,,,,,,,,,,,,,18701.0,452591.0,22444688.0,0.775459,0.223678,0.217916,,,2447.21,,0.55004,,,,,,,,,,
9F,Florida,dimacs9-FLA/,Infrastructure network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",1070376,2687902,,2519132,18454440,17451504,22327.0,110893.0,13651574.0,16,5.02235,,1070376,2058.0,538.354,1082.86,539.0,597.595,0.206181,0.427587,,2.20768,6.431,,,0.0801606,0.0,0.0265889,8.25097,3.85663e-07,,0.0444322,0.00017607,0.000350119,3.48561e-05,,,,,,,,,,,,,,,8.0,8.0,,,0.427587,0.427587,1.0,0.0265889,4.12549,4.12549,,,,,,,,,,,
LK,Linux kernel mailing list threads,lkml_person-thread/,Interaction network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",379554,1565683,,1002436389,,,,11033932.0,4099266604.0,46620,8.25012,,364645,22.0,3.79192,5.65667,4.0,4.60919,,,,,1.751,,,,,,1895.58,0.0020417,,,,,,,,42045.0,337509.0,46620.0,9101.0,37.2383,4.63894,,,,,,,,,,,,,,,,,,,,,,,,,,599858.0,2.61009
mlt,Wiktionary edits (lt),edit-ltwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",689678,1693277,,182596865400,,,,9785940460.0,808677240208.0,712788,4.91034,,689337,10.0,1.62319,3.53072,2.0,2.42294,0.754514,,,,,,,-0.693128,0.0,,1495.09,,,,,,,,,713.0,688965.0,712788.0,557.0,2374.86,2.45771,,,,,,,,,,,,,,,,,,,,,,,,,,1127170.0,1.50224
CY,Youtube friendships,com-youtube/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",1134890,2987624,,1474482560,5743242041025,32746672524915828,3056386.0,468774021.0,9654097656.0,28754,5.26505,,1134890,24.0,4.86022,6.93478,5.0,5.54806,0.714126,0.213532,,2.429,2.141,,,-0.0369099,0.0,0.00621856,210.395,,,0.161013,0.00204596,0.00426635,0.000202579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce,Wikipedia edits (ce),edit-cewiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",187459,1776311,,35361004668,,,,29210491286.0,375129672218.0,846382,18.9515,,186763,12.0,1.62206,3.26544,2.0,2.33685,0.663637,,,,2.151,,,,,,2832.52,0.0655217,,,,,,184780.0,0.986151,1416.0,186043.0,846382.0,2469.0,1254.46,9.54785,,,,,,,,,,,,,,,,,,,,,,,,,,601347.0,2.95389
be-x-old,Wikipedia edits (be-x-old),edit-be_x_oldwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",164905,1770298,,8704095362,,,,13306911078.0,141274625038.0,113019,21.4705,,163593,11.0,3.1503,3.85575,4.0,3.25218,,,,,3.201,,,-0.245909,0.0,,3250.99,,,,,,,,,5620.0,159285.0,113019.0,2094.0,315.0,11.114,,,,,,,,,,,,,,,,,,,,,,,,,,922783.0,1.91843
TH,arXiv hep-th,ca-cit-HepTh/,Co-citation network,"['Unipartite', 'undirected', 'Unweighted', 'multiple edges']",22908,2673133,,2134203872,,,191358360.0,92607592200.0,749402442684.0,11967,233.38,,22721,9.0,2.21236,3.13139,3.0,2.71719,0.684442,0.235728,,1.2339,1.721,,,-0.0339343,0.0,0.268988,,0.175383,,0.896403,0.152926,0.235724,0.000273859,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444798.0,1.0934
zh-min-nan,Wikipedia edits (zh-min-nan),edit-zh_min_nanwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",660825,1731598,,187650418254,35934107834734540,,,8547172381.0,818981132834.0,969316,5.24072,,655575,13.0,1.65518,3.67525,2.0,2.50986,0.768571,0.184459,,6.31003,,,,,,,2053.18,,,,,,,,,2326.0,658499.0,969316.0,759.0,744.453,2.62961,0.0222453,0.285071,,,,,,,,,,,,,,,,,,,,,,,,957313.0,1.80881
Us,Wikipedia dynamic (simple),link-dynamic-simplewiki/,Hyperlink network,"['Unipartite', 'directed', 'Dynamic']",100312,1627472,306.0,320147664,422387316406,834653587495453,2020060.0,278060062.0,3276402818.0,33633,32.4482,7.50146e-05,99636,12.0,3.27416,4.66077,4.0,3.83055,0.695197,0.236269,0.888087,1.59615,2.301,,,-0.0704519,0.0,0.0189293,199.284,0.0471595,1.34224,0.260291,0.0241805,0.0471595,0.000833824,49186.0,0.493197,,,,,,,,,,,,,16280.0,17353.0,54524.0,0.543544,0.259175,0.19474,0.418469,0.0503611,147.945,65.6523,0.126581,,,,,,,,,746086.0,2.18135
lb,Wikipedia edits (lb),edit-lbwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",114727,1875160,,8726515024,,,,19063161162.0,187414272590.0,236379,32.6891,,113353,10.0,1.90397,3.74723,2.0,2.82055,0.832876,0.173318,,,,,,-0.318654,0.0,,2605.88,,,,,,,,,5074.0,109653.0,236379.0,5206.0,369.562,17.1009,0.0229698,0.239863,,,,,,,,,,,,,,,,,,,,,,,,796539.0,2.35413
RO,California,roadNet-CA/,Infrastructure network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",1965206,2766607,,5995090,2952147,550344,120676.0,262339.0,31612286.0,12,2.81559,,1957027,865.0,303.852,511.075,304.0,315.889,0.185512,0.438309,0.995082,2.05571,8.991,,,0.126042,0.0,0.0603874,4.63836,5.64678e-07,,0.152274,0.000418791,0.000829045,7.34708e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wlmo,Wikipedia links (lmo),wikipedia_link_lmo/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",52214,3623678,,1244592477,,,167733441.0,54418968818.0,,14746,138.801,,52206,9.0,2.73574,3.81761,3.0,3.27826,,0.217754,,,1.331,,,-0.0585198,0.0,0.404309,,,,0.642381,0.110041,0.170778,0.000495641,,,,,,,,,,,,,,,557.0,14733.0,,,0.22936,0.211821,0.795806,0.972543,,497.034,,,,,,,,,,,
uz,Wikipedia edits (uz),edit-uzwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",619358,1802425,,122820219068,,,,18479003101.0,639117898402.0,513316,5.8203,,617456,11.0,1.96422,3.84579,2.0,2.99095,0.793388,0.166507,,3.77451,,,,-0.448591,0.0,,3213.69,,,,,,,611321.0,0.988425,3951.0,615407.0,513316.0,2880.0,456.195,2.92883,0.0202017,0.254905,,,,,,,,,,,,,,,,,,,,,,,,1259549.0,1.43101
oc,Wikipedia edits (oc),edit-ocwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",143371,1927431,,14254559161,,,,26574503321.0,269616769964.0,197361,26.8873,,142011,11.0,2.41835,3.8332,3.0,3.02033,0.801559,0.190137,,,3.601,,,-0.268616,0.0,,,,,,,,,,,4172.0,139199.0,197361.0,2665.0,461.992,13.8466,0.0283118,0.278551,,,,,,,,,,,,,,,,,,,,,,,,966674.0,1.99388
mtr,Wiktionary edits (tr),edit-trwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",381017,1882538,,57016392463,,,,29565933948.0,464595837812.0,366711,9.88165,,363160,11.0,1.85009,3.76264,2.0,2.81477,0.733693,0.217299,,,,,,-0.285379,0.0,,1246.93,,,,,,,,,3241.0,377776.0,366711.0,702.0,580.851,4.98321,0.0226078,0.325735,,,,,,,,,,,,,,,,,,,,,,,,1282932.0,1.46737
Wlv,Wikipedia links (lv),wikipedia_link_lv/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",190048,3739941,,2284900425,,,77652884.0,26071350063.0,,25370,39.3579,,190024,9.0,3.13345,4.02428,4.0,3.59908,,0.171857,,,,,,-0.0579726,0.0,0.101956,,,,0.730805,0.0880889,0.158264,0.00131208,,,,,,,,,,,,,,,1409.0,25367.0,,,0.185002,0.183289,0.809735,0.488261,536.268,382.559,,,,,,,,,,,
Wnn,Wikipedia links (nn),wikipedia_link_nn/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",215911,3566744,,3794748567,46583745490709,,31715861.0,6916460328.0,,60722,33.039,7.65107e-05,215866,10.0,2.90221,4.0417,3.0,3.4497,,0.209119,,,,,,-0.0350365,0.0,0.0250735,,,,0.386627,0.0352114,0.0683208,0.000641371,,,,,,,,,,,,,,,1938.0,60716.0,142433.0,0.659684,0.242175,0.176854,0.680838,0.45213,316.963,241.894,,,,,,,,,,,
Wla,Wikipedia links (la),wikipedia_link_la/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",181160,3563825,,6840252631,,,29522496.0,81491846235.0,,42987,39.3445,,181147,9.0,2.65026,3.74277,3.0,3.19421,,0.205462,,1.43094,,,,-0.131476,0.0,0.012948,,,,0.0342531,0.0265037,0.0872844,0.0006575,,,,,,,,,,,,,,,1982.0,42936.0,,,0.245899,0.121083,,0.239791,734.242,254.008,,,,,,,,,,,
tt,Wikipedia edits (tt),edit-ttwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",175460,1960260,,7078938010,,,,3162334761.0,53616001928.0,1115118,22.3442,,173453,11.0,3.16093,3.86063,4.0,3.23148,,0.159993,,,,,,-0.360705,0.0,,6200.94,0.0716251,,,,,,,,2441.0,173019.0,1115118.0,2271.0,803.056,11.3297,0.0293283,0.225912,,,,,,,,,,,,,,,,,,,,,,,,557362.0,3.51703
DF,Digg friends,digg-friends/,Online social network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",279630,1731653,,695297099,797470104176,1546289679690330,14236438.0,4925314153.0,42186797872.0,12204,12.3853,2.2146e-05,261489,18.0,3.71989,4.96237,4.0,4.30722,0.852351,0.136055,,2.22548,1.751,,,-0.0557096,0.0,0.061426,,0.0039576,,0.602264,0.0057572,0.0112894,0.000240148,,,,,,,,,,,,,,,995.0,12038.0,,,0.146953,0.170457,,,348.56,,,,,,,,,,,,
Wsa,Wikipedia links (sa),wikipedia_link_sa/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",21779,3720076,25.0,3245621633,,,1055896011.0,1464181697860.0,,5123,341.62,,21628,12.0,3.28032,4.84076,4.0,3.84085,,0.082814,,,,,,0.891202,0.0,0.975988,3687.48,,,0.899878,0.0123759,0.074466,0.000101204,,,,,,,,,,,,,,,1855.0,4878.0,,,0.0746184,0.0972182,,0.999132,,,,,,,,,,,,,
mvi,Wiktionary edits (vi),edit-viwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",246124,1964619,,80179114914,,,,112035111082.0,1216999835426.0,343215,15.9645,,244368,13.0,1.60042,3.374,2.0,2.34988,0.689815,0.246773,,,,,,-0.298526,0.0,,1683.63,,,,,,,,,1716.0,244408.0,343215.0,1033.0,1144.88,8.03828,0.0126915,0.361099,,,,,,,,,,,,,,,,,,,,,,,,1242761.0,1.58085
te,Wikipedia edits (te),edit-tewiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",232888,1968229,,10632925298,161830353852854,,,11053080404.0,130958018032.0,147261,16.9028,,229573,12.0,3.28267,3.9552,4.0,3.49173,,,,,,,,-0.307328,0.0,,3983.13,,,,,,,,,15537.0,217351.0,147261.0,7345.0,126.68,9.05553,,,,,,,,,,,,,,,,,,,,,,,,,,834522.0,2.35851
EX,Wikipedia words (en),gottron-excellent/,Text network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",276739,7846807,,2707057869,1273176127252,,,113573615622.0,919423043352.0,3410,56.7091,,276739,4.0,3.47911,3.89582,4.0,3.9431,0.955005,0.057292,,2.61196,1.591,,,-0.114424,0.0,,4788.82,0.882279,2.92242,,,,,271179.0,,2780.0,273959.0,3410.0,2780.0,2822.59,28.6423,0.392762,0.0793233,,,,,,,,,,,,,,,,,,,,,,,,2941902.0,2.66726
mku,Wiktionary edits (ku),edit-kuwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",530893,2071885,,111026283459,,,,35235448060.0,725992858328.0,680878,7.80528,,529942,12.0,1.86726,3.76442,2.0,2.84691,,0.227795,,,,,,-0.395964,0.0,,1679.68,,,,,,,,,672.0,530221.0,680878.0,591.0,3083.16,3.90759,0.0257683,0.335243,,,,,,,,,,,,,,,,,,,,,,,,1293446.0,1.60183
Tar,Wikipedia talk (ar),wiki_talk_ar/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",1095799,1913103,,440266628953,,,485421.0,8084744426.0,1825747539904.0,915536,3.4917,,1095524,6.0,1.68734,3.47225,2.0,2.46204,0.688965,0.228882,,,1.731,,,-0.486706,0.0,3.30768e-06,7061.88,0.0144837,1.68292,0.742158,0.00892128,0.0245871,0.00217387,1079778.0,0.98538,,,,,,,,,,,,,915524.0,8478.0,,,0.0299372,0.363699,0.433959,0.0389364,3550.07,3512.76,,,,,,,,,,1564598.0,1.22274
